train_metrics/feature_std_step,train_metrics/var_loss_trunk_step,train_metrics/ijepa_loss_trunk_step,train_metrics/ctx_loss_trunk_step,train_metrics/var_loss_final_step,train_metrics/ijepa_loss_final_step,train_metrics/ctx_loss_final_step,train_metrics/loss_step,train_metrics/lr,train_metrics/wd,epoch,step,val_metrics/feature_std,val_metrics/var_loss_trunk,val_metrics/ijepa_loss_trunk,val_metrics/ctx_loss_trunk,val_metrics/var_loss_final,val_metrics/ijepa_loss_final,val_metrics/ctx_loss_final,val_metrics/loss,train_metrics/feature_std_epoch,train_metrics/var_loss_trunk_epoch,train_metrics/ijepa_loss_trunk_epoch,train_metrics/ctx_loss_trunk_epoch,train_metrics/var_loss_final_epoch,train_metrics/ijepa_loss_final_epoch,train_metrics/ctx_loss_final_epoch,train_metrics/loss_epoch
0.3748275637626648,0.94140625,55.75163650512695,59.08125305175781,0.921875,39.560333251953125,39.77476119995117,98.8228530883789,1.2437811165000312e-05,0.009999999776482582,0,49,,,,,,,,,,,,,,,,
0.3768708109855652,0.94921875,55.51780319213867,50.005615234375,0.921875,35.15153503417969,30.4290714263916,93.88101196289062,2.4875622330000624e-05,0.009999999776482582,0,99,,,,,,,,,,,,,,,,
0.3826320171356201,0.9296875,51.44388961791992,48.33160400390625,0.88671875,27.87863540649414,26.697736740112305,82.38941955566406,3.731343167601153e-05,0.009999999776482582,0,149,,,,,,,,,,,,,,,,
0.39350974559783936,0.89453125,49.03557205200195,41.43012237548828,0.859375,25.75452423095703,22.52345848083496,77.60989379882812,4.975124466000125e-05,0.009999999776482582,0,199,,,,,,,,,,,,,,,,
0.4047994911670685,0.86328125,48.5167236328125,36.388362884521484,0.8359375,25.48047637939453,19.839847564697266,76.63355255126953,6.218905764399096e-05,0.009999999776482582,0,249,,,,,,,,,,,,,,,,
0.41258302330970764,0.8515625,48.88428497314453,37.21259689331055,0.82421875,24.99324607849121,19.487533569335938,76.4983139038086,7.462686335202307e-05,0.009999999776482582,0,299,,,,,,,,,,,,,,,,
0.4290461838245392,0.8515625,42.36284637451172,35.07328796386719,0.8125,19.231077194213867,17.193065643310547,64.12908935546875,8.706467633601278e-05,0.009999999776482582,0,349,,,,,,,,,,,,,,,,
0.4404948353767395,0.83203125,48.884456634521484,32.773681640625,0.7890625,24.53032112121582,16.193052291870117,75.85198211669922,9.95024893200025e-05,0.009999999776482582,0,399,,,,,,,,,,,,,,,,
,,,,,,,,,,0,401,0.4166513681411743,0.8418025970458984,38.73316192626953,30.5401668548584,0.7307088971138,29.38515281677246,24.90078353881836,70.61482238769531,,,,,,,,
,,,,,,,,,,0,401,,,,,,,,,0.3981339633464813,0.9025672674179077,50.455322265625,43.828285217285156,0.869140625,28.355764389038086,25.619630813598633,81.7402114868164
0.4542524814605713,0.84375,46.82748794555664,32.02321243286133,0.80078125,24.55392074584961,15.249517440795898,74.60169982910156,0.0001119402950280346,0.009999999776482582,1,449,,,,,,,,,,,,,,,,
0.4690147340297699,0.8125,42.980506896972656,27.93619728088379,0.765625,20.366666793823242,13.875032424926758,66.31900787353516,0.00012437811528798193,0.009999999776482582,1,499,,,,,,,,,,,,,,,,
0.4776821732521057,0.7734375,45.6032600402832,29.056018829345703,0.72265625,21.136323928833008,13.648672103881836,69.65916442871094,0.00013681591372005641,0.009999999776482582,1,549,,,,,,,,,,,,,,,,
0.4867422878742218,0.80859375,41.74749755859375,29.313547134399414,0.77734375,20.87775421142578,14.352685928344727,65.66673278808594,0.00014925372670404613,0.009999999776482582,1,599,,,,,,,,,,,,,,,,
0.5020976066589355,0.76171875,36.893959045410156,29.025272369384766,0.71484375,16.308563232421875,15.304044723510742,56.15673065185547,0.00016169153968803585,0.009999999776482582,1,649,,,,,,,,,,,,,,,,
0.5112913250923157,0.8203125,42.68898010253906,28.569190979003906,0.796875,21.85732650756836,15.34626579284668,67.6273422241211,0.00017412935267202556,0.009999999776482582,1,699,,,,,,,,,,,,,,,,
0.5220229029655457,0.78515625,47.69417953491211,26.405742645263672,0.74609375,27.018430709838867,14.94174575805664,77.62210845947266,0.00018656716565601528,0.009999999776482582,1,749,,,,,,,,,,,,,,,,
0.5341393947601318,0.8046875,42.10599136352539,26.109878540039062,0.7734375,22.170047760009766,15.123186111450195,67.22859954833984,0.000199004978640005,0.009999999776482582,1,799,,,,,,,,,,,,,,,,
,,,,,,,,,,1,803,0.6162786483764648,0.8162902593612671,47.760284423828125,29.87034797668457,0.7640108466148376,37.83872604370117,25.778179168701172,89.0343017578125,,,,,,,,
,,,,,,,,,,1,803,,,,,,,,,0.4898214042186737,0.8040072917938232,42.957332611083984,29.509000778198242,0.7611454725265503,22.377843856811523,15.263618469238281,68.39276885986328
0.5473604202270508,0.7890625,36.28360366821289,24.694576263427734,0.74609375,20.615779876708984,14.34117317199707,60.386329650878906,0.0002114427916239947,0.009999999776482582,2,849,,,,,,,,,,,,,,,,
0.5583277940750122,0.78515625,31.278583526611328,25.559951782226562,0.7578125,16.574440002441406,17.24839973449707,51.536407470703125,0.0002238805900560692,0.009999999776482582,2,899,,,,,,,,,,,,,,,,
0.5684707164764404,0.78515625,48.10354995727539,24.633220672607422,0.75,36.13605499267578,18.741361618041992,87.94349670410156,0.0002363184030400589,0.009999999776482582,2,949,,,,,,,,,,,,,,,,
0.5830510258674622,0.76953125,41.89149856567383,24.42273712158203,0.72265625,26.88197135925293,17.783344268798828,72.37596130371094,0.00024875623057596385,0.009999999776482582,2,999,,,,,,,,,,,,,,,,
0.5921186208724976,0.73828125,32.630699157714844,20.893484115600586,0.69140625,18.057308197021484,14.090408325195312,53.86688995361328,0.00026119404355995357,0.009999999776482582,2,1049,,,,,,,,,,,,,,,,
0.6056263446807861,0.75390625,24.42304039001465,22.26886558532715,0.69140625,13.437491416931152,16.108430862426758,41.224708557128906,0.00027363182744011283,0.009999999776482582,2,1099,,,,,,,,,,,,,,,,
0.6192299127578735,0.78125,44.87388229370117,19.710060119628906,0.7421875,31.892547607421875,15.196309089660645,80.03518676757812,0.00028606964042410254,0.009999999776482582,2,1149,,,,,,,,,,,,,,,,
0.6324775218963623,0.78515625,36.14973449707031,22.65913963317871,0.7265625,22.836322784423828,17.710065841674805,62.5162353515625,0.00029850745340809226,0.009999999776482582,2,1199,,,,,,,,,,,,,,,,
,,,,,,,,,,2,1205,0.629065990447998,0.8329674005508423,36.315635681152344,21.483306884765625,0.7734211683273315,30.776626586914062,21.66031265258789,70.85579681396484,,,,,,,,
,,,,,,,,,,2,1205,,,,,,,,,0.5827834606170654,0.7709888219833374,39.48778533935547,23.307607650756836,0.7331117987632751,24.575420379638672,15.98210334777832,67.53177642822266
0.644189715385437,0.78125,36.8824462890625,20.843175888061523,0.7265625,22.761003494262695,15.673129081726074,63.58568572998047,0.000310945266392082,0.009999999776482582,3,1249,,,,,,,,,,,,,,,,
0.6556258201599121,0.80078125,38.265933990478516,22.370847702026367,0.7421875,30.16360092163086,20.110366821289062,72.80458068847656,0.0003233830793760717,0.009999999776482582,3,1299,,,,,,,,,,,,,,,,
0.666219174861908,0.71875,37.19628143310547,19.296180725097656,0.6484375,24.995038986206055,16.28257179260254,65.930419921875,0.0003358208923600614,0.009999999776482582,3,1349,,,,,,,,,,,,,,,,
0.6782113313674927,0.7421875,45.49019241333008,20.868261337280273,0.67578125,40.955535888671875,19.386205673217773,90.54733276367188,0.0003482587053440511,0.009999999776482582,3,1399,,,,,,,,,,,,,,,,
0.6923816204071045,0.73046875,44.58649444580078,17.888092041015625,0.65625,30.638181686401367,14.686235427856445,78.78302001953125,0.00036069651832804084,0.009999999776482582,3,1449,,,,,,,,,,,,,,,,
0.7046166062355042,0.76953125,49.809364318847656,20.475088119506836,0.6640625,39.9397087097168,20.660301208496094,93.9250259399414,0.00037313433131203055,0.009999999776482582,3,1499,,,,,,,,,,,,,,,,
0.7160924077033997,0.6875,35.640785217285156,19.51496124267578,0.61328125,23.387243270874023,15.597834587097168,62.66966247558594,0.00038557214429602027,0.009999999776482582,3,1549,,,,,,,,,,,,,,,,
0.733590841293335,0.78125,40.901817321777344,21.53537368774414,0.671875,32.987335205078125,21.311861038208008,78.19876098632812,0.00039800995728001,0.009999999776482582,3,1599,,,,,,,,,,,,,,,,
,,,,,,,,,,3,1607,0.7323925495147705,0.8394500017166138,37.11775588989258,18.408573150634766,0.712986171245575,36.1237678527832,25.68046760559082,77.73324584960938,,,,,,,,
,,,,,,,,,,3,1607,,,,,,,,,0.6838527917861938,0.7567144632339478,39.80654525756836,20.076692581176758,0.6847986578941345,28.545719146728516,17.434444427490234,72.29450225830078
0.7483627200126648,0.76953125,40.441017150878906,19.88277244567871,0.66796875,31.066478729248047,19.689376831054688,76.24267578125,0.0004104477702639997,0.009999999776482582,4,1649,,,,,,,,,,,,,,,,
0.762029767036438,0.734375,40.602935791015625,19.064706802368164,0.6171875,32.38414001464844,18.536827087402344,77.47209930419922,0.0004228855832479894,0.009999999776482582,4,1699,,,,,,,,,,,,,,,,
0.7712996006011963,0.7578125,41.225772857666016,20.4332332611084,0.640625,33.73006820678711,20.381820678710938,79.75553894042969,0.00043532339623197913,0.009999999776482582,4,1749,,,,,,,,,,,,,,,,
0.7893686294555664,0.73828125,48.35799026489258,18.534358978271484,0.61328125,41.855438232421875,21.704633712768555,94.91824340820312,0.0004477611801121384,0.009999999776482582,4,1799,,,,,,,,,,,,,,,,
0.8118708729743958,0.7578125,40.739383697509766,16.822362899780273,0.5859375,33.84943389892578,18.632234573364258,78.88711547851562,0.0004601989930961281,0.009999999776482582,4,1849,,,,,,,,,,,,,,,,
0.820156455039978,0.734375,42.153438568115234,17.393239974975586,0.5703125,36.2718391418457,20.588607788085938,82.8951187133789,0.0004726368060801178,0.009999999776482582,4,1899,,,,,,,,,,,,,,,,
0.8366937637329102,0.7265625,42.98595428466797,18.826831817626953,0.56640625,40.00267028808594,22.415403366088867,87.71844482421875,0.00048507461906410754,0.009999999776482582,4,1949,,,,,,,,,,,,,,,,
0.8475068807601929,0.71875,40.94973373413086,17.698396682739258,0.55859375,38.37226104736328,24.35799217224121,84.10403442382812,0.0004975124611519277,0.009999999776482582,4,1999,,,,,,,,,,,,,,,,
,,,,,,,,,,4,2009,0.8310419321060181,0.8359472751617432,43.28754806518555,20.319177627563477,0.692440390586853,52.83211135864258,37.0017204284668,102.4248275756836,,,,,,,,
,,,,,,,,,,4,2009,,,,,,,,,0.7927443981170654,0.7473180890083313,42.33877182006836,18.595714569091797,0.6067416667938232,36.4465446472168,20.80208396911621,83.4225082397461
0.8652875423431396,0.73828125,39.949520111083984,17.029563903808594,0.57421875,35.675636291503906,20.854080200195312,80.72602081298828,0.0005099502741359174,0.009999999776482582,5,2049,,,,,,,,,,,,,,,,
0.8762483596801758,0.75390625,41.84415817260742,17.748979568481445,0.5546875,41.922489166259766,25.12589454650879,89.36273193359375,0.0005223880871199071,0.009999999776482582,5,2099,,,,,,,,,,,,,,,,
0.8899794816970825,0.72265625,44.715885162353516,17.1508731842041,0.546875,40.603431701660156,24.30267333984375,90.73420715332031,0.0005348258418962359,0.009999999776482582,5,2149,,,,,,,,,,,,,,,,
0.9276242256164551,0.7734375,49.2449836730957,17.63509750366211,0.54296875,56.93695831298828,28.666481018066406,112.12850952148438,0.0005472636548802257,0.009999999776482582,5,2199,,,,,,,,,,,,,,,,
0.9384039640426636,0.765625,48.16735076904297,17.6911678314209,0.55078125,56.69989013671875,31.06050682067871,111.0588150024414,0.0005597014678642154,0.009999999776482582,5,2249,,,,,,,,,,,,,,,,
0.9610332250595093,0.7578125,44.43759536743164,17.927978515625,0.51953125,50.88436508178711,28.1640625,101.20851135253906,0.0005721392808482051,0.009999999776482582,5,2299,,,,,,,,,,,,,,,,
0.9812382459640503,0.734375,46.008914947509766,17.84107208251953,0.484375,55.82624435424805,31.563444137573242,107.9943618774414,0.0005845770938321948,0.009999999776482582,5,2349,,,,,,,,,,,,,,,,
0.9990814924240112,0.734375,45.899261474609375,17.608539581298828,0.474609375,53.3546028137207,28.770488739013672,105.10075378417969,0.0005970149068161845,0.009999999776482582,5,2399,,,,,,,,,,,,,,,,
,,,,,,,,,,5,2411,1.0891953706741333,0.7954830527305603,53.258724212646484,22.142520904541016,0.48525720834732056,78.39834594726562,57.707862854003906,140.92288208007812,,,,,,,,
,,,,,,,,,,5,2411,,,,,,,,,0.9249269366264343,0.7450248599052429,45.56235122680664,17.83637809753418,0.5275138020515442,50.226966857910156,27.73604965209961,101.6191635131836
1.0070677995681763,0.72265625,44.3045768737793,17.021467208862305,0.46875,53.843936920166016,30.340810775756836,104.86551666259766,0.0006094527198001742,0.009999999776482582,6,2449,,,,,,,,,,,,,,,,
1.0270730257034302,0.72265625,52.26305389404297,17.853755950927734,0.4375,65.75049591064453,32.12074279785156,125.00406646728516,0.000621890532784164,0.009999999776482582,6,2499,,,,,,,,,,,,,,,,
