train_metrics/feature_std_step,train_metrics/ijepa_loss_trunk_step,train_metrics/ctx_loss_trunk_step,train_metrics/ijepa_loss_final_step,train_metrics/ctx_loss_final_step,train_metrics/loss_step,train_metrics/lr,train_metrics/wd,epoch,step,val_metrics/feature_std,val_metrics/ijepa_loss_trunk,val_metrics/ctx_loss_trunk,val_metrics/ijepa_loss_final,val_metrics/ctx_loss_final,val_metrics/loss,train_metrics/feature_std_epoch,train_metrics/ijepa_loss_trunk_epoch,train_metrics/ctx_loss_trunk_epoch,train_metrics/ijepa_loss_final_epoch,train_metrics/ctx_loss_final_epoch,train_metrics/loss_epoch
0.6323032975196838,0.8305519223213196,0.8583293557167053,0.8543853163719177,0.8701756000518799,1.7137455940246582,1.2583892385009676e-05,0.009999999776482582,0,49,,,,,,,,,,,,
0.6275535821914673,0.5262879133224487,0.5716961026191711,0.5154964327812195,0.5242134928703308,1.0600495338439941,2.5167784770019352e-05,0.009999999776482582,0,99,,,,,,,,,,,,
0.6217089295387268,0.40444400906562805,0.402666300535202,0.36012008786201477,0.3544594943523407,0.7771828174591064,3.775167715502903e-05,0.009999999776482582,0,149,,,,,,,,,,,,
0.6161962747573853,0.361637681722641,0.34805771708488464,0.28877201676368713,0.2898741662502289,0.6610418558120728,5.0335569540038705e-05,0.009999999776482582,0,199,,,,,,,,,,,,
0.6120156645774841,0.2884969711303711,0.3052407503128052,0.2178889364004135,0.21834927797317505,0.5151124000549316,6.291946192504838e-05,0.009999999776482582,0,249,,,,,,,,,,,,
0.6076070666313171,0.3266104757785797,0.26215144991874695,0.220328226685524,0.18871338665485382,0.5544531345367432,7.550335431005806e-05,0.009999999776482582,0,299,,,,,,,,,,,,
0.6011461615562439,0.2884960174560547,0.215758815407753,0.1766434758901596,0.14202246069908142,0.4711025059223175,8.808724669506773e-05,0.009999999776482582,0,349,,,,,,,,,,,,
0.5976155400276184,0.19684047996997833,0.20474378764629364,0.11637420952320099,0.11516308039426804,0.31854647397994995,0.00010067113908007741,0.009999999776482582,0,399,,,,,,,,,,,,
0.5914543271064758,0.2467530518770218,0.17273007333278656,0.1388903260231018,0.11083599925041199,0.3903694748878479,0.00011325503146508709,0.009999999776482582,0,449,,,,,,,,,,,,
0.594710111618042,0.2816430628299713,0.17422114312648773,0.1518660932779312,0.10863383114337921,0.4382234215736389,0.00012583892385009676,0.009999999776482582,0,499,,,,,,,,,,,,
0.5921187400817871,0.2574324309825897,0.153842493891716,0.12987245619297028,0.08633805811405182,0.39130789041519165,0.00013842282351106405,0.009999999776482582,0,549,,,,,,,,,,,,
,,,,,,,,0,595,0.5763313174247742,0.2553483247756958,0.1662997156381607,0.145870178937912,0.10908486694097519,0.4058082699775696,,,,,,
,,,,,,,,0,595,,,,,,,0.6089144349098206,0.3838421404361725,0.355652391910553,0.31164541840553284,0.29797571897506714,0.7063813209533691
0.5921428203582764,0.14888973534107208,0.1439630389213562,0.08102776110172272,0.07910606265068054,0.2373531460762024,0.00015100670862011611,0.009999999776482582,1,599,,,,,,,,,,,,
0.5902614593505859,0.2325950711965561,0.13204853236675262,0.11355578154325485,0.07787381112575531,0.35314828157424927,0.0001635906082810834,0.009999999776482582,1,649,,,,,,,,,,,,
0.5916430950164795,0.265853613615036,0.13366355001926422,0.1104087084531784,0.07557161152362823,0.383236825466156,0.00017617449339013547,0.009999999776482582,1,699,,,,,,,,,,,,
0.5923378467559814,0.1483021080493927,0.13700908422470093,0.0702771469950676,0.06879380345344543,0.22543933987617493,0.00018875839305110276,0.009999999776482582,1,749,,,,,,,,,,,,
0.5929226875305176,0.2475796341896057,0.13278307020664215,0.10217435657978058,0.07211536914110184,0.35658392310142517,0.00020134227816015482,0.009999999776482582,1,799,,,,,,,,,,,,
0.5967698097229004,0.26427656412124634,0.1354532390832901,0.10421562939882278,0.07398505508899689,0.3754734694957733,0.0002139261778211221,0.009999999776482582,1,849,,,,,,,,,,,,
0.5992486476898193,0.2746845483779907,0.13503071665763855,0.10405858606100082,0.07180916517972946,0.3856377899646759,0.00022651006293017417,0.009999999776482582,1,899,,,,,,,,,,,,
0.600498378276825,0.27319639921188354,0.13659021258354187,0.09085565060377121,0.06549631804227829,0.3707882761955261,0.00023909396259114146,0.009999999776482582,1,949,,,,,,,,,,,,
0.6005423665046692,0.26113051176071167,0.13744226098060608,0.08613070845603943,0.06336059421300888,0.3539546728134155,0.0002516778477001935,0.009999999776482582,1,999,,,,,,,,,,,,
0.6058347225189209,0.3088645935058594,0.1413509100675583,0.11124979704618454,0.07353508472442627,0.42727723717689514,0.0002642617328092456,0.009999999776482582,1,1049,,,,,,,,,,,,
0.6054452061653137,0.29979878664016724,0.1420721560716629,0.10689107328653336,0.071065753698349,0.41379445791244507,0.0002768456470221281,0.009999999776482582,1,1099,,,,,,,,,,,,
0.6073014140129089,0.16748195886611938,0.15085871517658234,0.07793954014778137,0.07532034069299698,0.25296080112457275,0.00028942953213118017,0.009999999776482582,1,1149,,,,,,,,,,,,
,,,,,,,,1,1191,0.4716511070728302,0.2870733141899109,0.16013070940971375,0.10927286744117737,0.08462227880954742,0.40450456738471985,,,,,,
,,,,,,,,1,1191,,,,,,,0.5989788770675659,0.25067564845085144,0.1407279074192047,0.1001027300953865,0.07457789778709412,0.35795530676841736
0.6084140539169312,0.32433223724365234,0.14785036444664001,0.10673801600933075,0.07022993266582489,0.4419742822647095,0.00030201341724023223,0.009999999776482582,2,1199,,,,,,,,,,,,
0.6098123788833618,0.3325628340244293,0.14557775855064392,0.11554723978042603,0.08155331015586853,0.4594666361808777,0.0003145973023492843,0.009999999776482582,2,1249,,,,,,,,,,,,
0.6128597855567932,0.33105260133743286,0.13975894451141357,0.09981793910264969,0.07008048892021179,0.44136252999305725,0.0003271812165621668,0.009999999776482582,2,1299,,,,,,,,,,,,
0.6140350699424744,0.3089347183704376,0.13862913846969604,0.10432291030883789,0.07264130562543869,0.4238211512565613,0.00033976510167121887,0.009999999776482582,2,1349,,,,,,,,,,,,
0.614323616027832,0.31339821219444275,0.13589222729206085,0.10579552501440048,0.07271094620227814,0.42962390184402466,0.00035234898678027093,0.009999999776482582,2,1399,,,,,,,,,,,,
0.6174111366271973,0.17251449823379517,0.15015925467014313,0.08419647067785263,0.0811142697930336,0.2682746648788452,0.000364932871889323,0.009999999776482582,2,1449,,,,,,,,,,,,
0.6180803775787354,0.3425138592720032,0.14144955575466156,0.11597650498151779,0.07986970990896225,0.4695563316345215,0.0003775167861022055,0.009999999776482582,2,1499,,,,,,,,,,,,
0.621522068977356,0.1699192374944687,0.14810681343078613,0.0799446552991867,0.07748313248157501,0.26114338636398315,0.0003901006712112576,0.009999999776482582,2,1549,,,,,,,,,,,,
0.6229277849197388,0.30887043476104736,0.14058303833007812,0.10248512029647827,0.07334193587303162,0.4220517873764038,0.00040268455632030964,0.009999999776482582,2,1599,,,,,,,,,,,,
0.6255530118942261,0.3379271924495697,0.14269934594631195,0.11348316073417664,0.07856953889131546,0.4624738097190857,0.00041526847053319216,0.009999999776482582,2,1649,,,,,,,,,,,,
0.6262251734733582,0.17015290260314941,0.14733542501926422,0.08676454424858093,0.08358617126941681,0.26846352219581604,0.0004278523556422442,0.009999999776482582,2,1699,,,,,,,,,,,,
0.6284400224685669,0.3379453122615814,0.1362050175666809,0.10610105097293854,0.07308430969715118,0.45451080799102783,0.0004404362407512963,0.009999999776482582,2,1749,,,,,,,,,,,,
,,,,,,,,2,1787,0.48968788981437683,0.33141273260116577,0.15270304679870605,0.12859688699245453,0.09352275729179382,0.47232091426849365,,,,,,
,,,,,,,,2,1787,,,,,,,0.619012176990509,0.2837516963481903,0.14262352883815765,0.10141633450984955,0.07611531019210815,0.39610520005226135
0.6283740997314453,0.16961884498596191,0.14676526188850403,0.08294490724802017,0.07997079938650131,0.26767951250076294,0.00045302012586034834,0.009999999776482582,3,1799,,,,,,,,,,,,
0.629666805267334,0.31092336773872375,0.13660213351249695,0.1100151464343071,0.07717006653547287,0.43518999218940735,0.00046560404007323086,0.009999999776482582,3,1849,,,,,,,,,,,,
0.632142186164856,0.3104760944843292,0.13822413980960846,0.10764013230800629,0.07902190834283829,0.4325993061065674,0.0004781879251822829,0.009999999776482582,3,1899,,,,,,,,,,,,
0.6332231760025024,0.2883840799331665,0.1339987963438034,0.10253791511058807,0.07433763891458511,0.4048110842704773,0.0004907718393951654,0.009999999776482582,3,1949,,,,,,,,,,,,
0.6334341764450073,0.1685403436422348,0.144093319773674,0.0917249545454979,0.08796240389347076,0.27573567628860474,0.000503355695400387,0.009999999776482582,3,1999,,,,,,,,,,,,
0.6337142586708069,0.35819509625434875,0.13564391434192657,0.12418978661298752,0.0861627459526062,0.4971719980239868,0.0005159396096132696,0.009999999776482582,3,2049,,,,,,,,,,,,
0.637140691280365,0.34403347969055176,0.13644014298915863,0.11435948312282562,0.08296268433332443,0.4730198085308075,0.0005285234656184912,0.009999999776482582,3,2099,,,,,,,,,,,,
0.6367574334144592,0.34418320655822754,0.13335037231445312,0.11963404715061188,0.08380218595266342,0.47829410433769226,0.0005411073798313737,0.009999999776482582,3,2149,,,,,,,,,,,,
0.636401891708374,0.34879744052886963,0.13562899827957153,0.12175634503364563,0.0846877247095108,0.485241562128067,0.0005536912940442562,0.009999999776482582,3,2199,,,,,,,,,,,,
0.6366056203842163,0.169192373752594,0.14473378658294678,0.10054802149534225,0.0955754965543747,0.2857609987258911,0.0005662751500494778,0.009999999776482582,3,2249,,,,,,,,,,,,
0.6355868577957153,0.3233505189418793,0.13173097372055054,0.11668245494365692,0.08261445164680481,0.4543226659297943,0.0005788590642623603,0.009999999776482582,3,2299,,,,,,,,,,,,
